priority_action,final_tier,company,sources,route_included,route_area,route_seq,size_class,customer_type,fit_product,phone,email,website,maps,address,has_maps,has_phone,has_email,open_status,distance_km,review_status,contact_status,followup_status,gmail_draft_id,next_action,risk,notes,photo_paths,entity_key,tier_group,country_scope,channel_track,data_confidence,last_updated
Meet at exhibition,T2,K.F.C GIDA TEKSTIL SANAYI ITHALAT IHRACAT YATIRIM A.S,323总审核池; 2026-07-18 consolidated master; 2026-07-11 exhibition booth walklist,Yes,FDM by SIAL 2026 / Chocolate Show 2026; HALL 3,3H141 & 3H141A HALL 3,,packaged food exhibitor,"New non-duplicate FDM exhibitor with possible but uncertain fit; verify before spending outreach time.; T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.; Kept as T2 because category or product format may be soft-pack, beverage, seafood, distributor, or unclear.",,,https://www.fooddrinksmalaysia.com/exhibitors-list/,,TURKIYE,No,No,No,,,Pending review,Not contacted,Not started,,Use booth/source to verify products first; only then prepare outreach or meeting request.,"Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.; High risk of low-fit packaging such as pouch, carton, bottle, can, frozen/vacuum pack, or pure channel role.","FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.; MITEC Kuala Lumpur; 2026-07-21 to 2026-07-23; Source has booth number from FDM official exhibitor list; this is not confirmed as MIFB KLCC booth.",,kfcgidatekstilsanayiithalatihracatyatirimas,T2,Malaysia / event-discovered; TURKIYE,rigid_food_packaging,High,2026-07-21
Lower priority,T2-T3,KL Kris Food Ind,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master,No,,,,food/snack manufacturer; food_direct_customer,"food and snack products | T/J first; F/E optional | clear snack containers, PET jars, retail packs | food and snack products | T/J first; F/E optional | clear snack containers, PET jars, retail packs",,,https://www.fooddrinksmalaysia.com/who-exhibits/,,Malaysia / FDM featured,No,No,No,,,已审核,needs_contact_research,uncontacted / 未跟进-待背景调查,,先核验官网/联系人/采购负责人；再决定是否开发 / Verify website/contact; check company scale and whether buyer/procurement contact exists before outreach.,,Average. | FDM2026 official featured brands: Official FDM2026 who-exhibits page lists this brand under Featured Brands.,,klkrisfoodind,T2,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Develop contact,T2,Koppiku,2026-07-12 Malaysia F&B chain pool,No,,,2026 media says 55 owned-operated outlets,咖啡奶茶/饮品连锁,paper cups; cup lids; paper bags; drink carriers,,,https://koppiku.com/,,,No,No,No,,,待找总部采购联系人,Not contacted,Not started,,Track expansion; approach if target is growth-stage local beverage brand,,"Fast-growing and fully owned stores; good future account, smaller than P0; Medium; Star cites 55 owned-and-operated outlets",,koppiku,T2,Malaysia,research_only,Medium,2026-07-21
Develop contact,T2,Lactalis Trading Malaysia / Petaling Jaya Dairy / Lactel,2026-07-17 corrected supermarket research,No,,,,乳制品/酸奶,PP酸奶桶/杯；外采杯盖,1800 88 6288,services@my.lactalis.com,https://lactel.com.my/contact-us/,,"Petaling Jaya, Selangor",No,Yes,Yes,,,Photo mapping corrected,Not contacted,Not started,,作为长期大客户资料，不进这次外访主线。,,Lactel; 酸奶桶/杯; 有包装形态，但集团/产线绑定明显，短期切入难。; 官网总机/客服; LinkedIn公司页可查人员,/Users/kevin/Desktop/超市实拍/683CDA2C-0B8C-4F9D-9711-8D7128C7AA06_4_5005_c.jpeg;/Users/kevin/Desktop/超市实拍/7467F826-F73D-4E48-8BAE-4EBD81EDA584_4_5005_c.jpeg;/Users/kevin/Desktop/超市实拍/19D4CB29-5165-43EB-8F5A-F8558D74EACD_4_5005_c.jpeg,lactalistradingmalaysiapetalingjayadairylactel,T2,Malaysia,external_sourcing; rigid_food_packaging,High,2026-07-21
Lower priority,T2/T3,Lavender Bakery,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master,No,,,,bakery cafe chain; supply_chain_outsourcing,"bakery/cafe chain | C/E first; T/J optional | cake trays, PET boxes, paper bags, paper cups | bakery/cafe chain | C/E first; T/J optional | cake trays, PET boxes, paper bags, paper cups",,,https://mifb.com.my/mycafeexpo/,,Malaysia,No,No,No,,,已审核,needs_contact_research,uncontacted / 未跟进-待背景调查,,先核验官网/联系人/采购负责人；再决定是否开发 / Verify buyer/procurement contact and current packaging; classify as supply-chain outsourcing opportunity.,,"Possible, but needs scale and packaging route check. | Malaysia Café Expo ecosystem target: MCE official page states it covers cafe owners, roasters, suppliers, bakery/pastries, snacks/confectionery and cafe franchise/licensing brands; these are target ecosystem companies, not confirmed exhibitor names.",,lavenderbakery,T2,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Develop contact,T2,Leong Kee Steam Rice & Steam Soup,2026-07-12 Malaysia F&B chain pool; 2026-07-12 export-scale hot soup pool,No,,,14 outlets; central kitchen; 10-14 outlets,Steam soup/rice chain,Very high product fit but outlet count below export main threshold.,,,https://leongkee.com.my/,,,No,No,No,,,validation_only,Not contacted,Not started,,"Keep as product validation, not P0 export.",,Good validation customer; weak as export main unless high daily usage or wholesale supply.; 10-14 outlets,,leongkeesteamriceandsteamsoup,T2,Malaysia,hot_soup_valve; rigid_food_packaging,Medium,2026-07-21
Develop contact,T2,LHP Packaging Sdn Bhd,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master; 2026-07-12 offsite visit pool,Yes,,,,peer_manufacturer,Plastic injection moulding company producing disposable takeaway plastic food containers; Needs product-format check; K-series general items; T-series tubs; J-series packaging; complementary/overflow selected SKU cooperation,,,https://www.lhppackaging.com/,,Malaysia,No,No,No,,,Pending review,Not contacted,uncontacted / 未跟进-待背景调查,,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,,NO_KNOWN_BOOTH / 展会外处理; 待背景调查,,lhppackaging,T2,Malaysia / event-discovered; Malaysia,research_only,Medium,2026-07-21
Develop contact,T2,Loob Holding / Tealive / Bask Bear,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master; 2026-07-12 offsite visit pool,Yes,,,,beverage chain; supply_chain_outsourcing,"beverage/franchise chain; Supply-chain outsourcing; not HUASUE-only; paper cups, cup carriers, nonwoven bags, branded takeaway bags; coffee chain; T/J first; F/E optional; paper cups, paper bags, bakery/snack packaging",,,https://mifb.com.my/mycafeexpo/,,Malaysia,No,No,No,,,Pending review,needs_contact_research,uncontacted / 未跟进-待背景调查,,先核验官网/联系人/采购负责人；再决定是否开发 / Verify buyer/procurement contact and current packaging; classify as supply-chain outsourcing opportunity.,,"Cup lids, paper cups, milk-tea cups, nonwoven bags, paper bags.; Malaysia Café Expo ecosystem target: MCE official page states it covers cafe owners, roasters, suppliers, bakery/pastries, snacks/confectionery and cafe franchise/licensing brands; these are target ecosystem companies, not confirmed exhibitor names.; NO_KNOWN_BOOTH / 展会外处理; 待背景调查",,loobholdingtealivebaskbear,T2,Malaysia / event-discovered; Malaysia,rigid_food_packaging,Medium,2026-07-21
Develop contact,T2,Ma Zi Pan Mee,2026-07-12 offsite visit pool,Yes,,,,外卖热汤/麻辣烫/火锅/餐饮连锁,Soup pan mee packaging,,,https://www.foodpanda.my/chain/cd0ql/ma-zi-pan-mee/reviews,,,No,No,No,,,Pending review,Not contacted,Not started,,只补官网、电话、规模、产品包装照片；暂不安排路线。,,NO_KNOWN_BOOTH / 展会外处理; Check if chain/HQ exists; otherwise lower priority; foodpanda chain/listing shows soup pan mee and mala pan mee.,,mazipanmee,T2,Malaysia,hot_soup_valve,Medium,2026-07-21
Develop contact,T2,Mala Mini Hotpot,2026-07-12 Malaysia F&B chain pool; 2026-07-12 export-scale hot soup pool,No,,,Premium + express outlets; around 7-8 early-stage outlets per sources; <10 outlets,Halal malatang/hotpot,High product fit but scale too small now.,,,https://malaminihotpot.com/,,,No,No,No,,,downgraded_small_chain,Not contacted,Not started,,Downgrade; only sample if easy contact because HQ phone is visible.,,Not export main attack yet; monitor expansion.; <10 outlets,,malaminihotpot,T2,Malaysia,hot_soup_valve,Medium,2026-07-21
Develop contact,T2,Malaysia Milk Sdn Bhd / Marigold,2026-07-17 corrected supermarket research,No,,,,乳制品/果冻/饮料,独立开模的注塑包装项目；定制PP/PS类杯盒/盖结构；不按通用PET杯切入,03-79554388,"nordina.baharum@cotra.com.my, halal@cotra.com.my",https://www.mmsb.com.my/,,"Petaling Jaya, Selangor",No,Yes,Yes,,,Photo mapping corrected,Not contacted,Not started,,只作为长期大客户建档。先找包装开发/采购负责人，话术要问新项目、新模具、包装改版，不要推通货现货。,,MARIGOLD; 酸奶/果冻/乳品类工业化包装，疑似自动化产线用杯/盒; 这类乳品大厂包装通常和自动灌装产线、封口、模具、供应商认证绑定；机会不是卖现成PET杯，而是走独立开模/产线适配/长期供应商认证路线。; JAKIM证书邮箱/电话；采购未确认; Malaysia Milk official website,/Users/kevin/Desktop/超市实拍/A28E44CD-1301-4A39-8B57-B2DB2EF9994B_4_5005_c.jpeg;/Users/kevin/Desktop/超市实拍/4C5932ED-4BAA-4960-8CBB-AA5370C34086_4_5005_c.jpeg;/Users/kevin/Desktop/超市实拍/274AE528-0EEC-459A-A906-44728B9A01B8_4_5005_c.jpeg,malaysiamilkmarigold,T2,Malaysia,rigid_food_packaging,High,2026-07-21
Develop contact,T2,Meet Mee Kitchen,2026-07-12 offsite visit pool,Yes,,,,外卖热汤/麻辣烫/火锅/餐饮连锁,Retail soup meal packs; maybe PP bowls for ready meal,,,https://meetmee.com.my/,,,No,No,No,,,Pending review,Not contacted,Not started,,只补官网、电话、规模、产品包装照片；暂不安排路线。,,"NO_KNOWN_BOOTH / 展会外处理; Contact for product development, not urgent visit; Sells soup pan mee products online; more retail packaged than hot delivery.",,meetmeekitchen,T2,Malaysia,hot_soup_valve; rigid_food_packaging,Medium,2026-07-21
Develop contact,T2,Michigan Pastries,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master; 2026-07-12 offsite visit pool,Yes,,,,premium frozen cakes and desserts,"premium frozen cake and desserts; F/E first; T/J optional; frozen cake containers, clear dessert boxes, cake trays, retail dessert packaging",,,https://www.michiganpastries.com/about-us,,Johor Bahru,No,No,No,,,Pending review,Not contacted,uncontacted / 未跟进-待背景调查,,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,,NO_KNOWN_BOOTH / 展会外处理; 待背景调查,,michiganpastries,T2,Malaysia / event-discovered; Malaysia,rigid_food_packaging,Medium,2026-07-21
Meet at exhibition,T2,MINERVA FOODS,323总审核池; 2026-07-18 consolidated master; 2026-07-11 exhibition booth walklist,Yes,FDM by SIAL 2026 / Chocolate Show 2026; HALL 4,4S294 HALL 4,,packaged food exhibitor,"New non-duplicate FDM exhibitor with possible but uncertain fit; verify before spending outreach time.; T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.; Kept as T2 because category or product format may be soft-pack, beverage, seafood, distributor, or unclear.",,,https://www.fooddrinksmalaysia.com/exhibitors-list/,,BRAZIL,No,No,No,,,Pending review,Not contacted,Not started,,Use booth/source to verify products first; only then prepare outreach or meeting request.,"Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.; High risk of low-fit packaging such as pouch, carton, bottle, can, frozen/vacuum pack, or pure channel role.","FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.; MITEC Kuala Lumpur; 2026-07-21 to 2026-07-23; Source has booth number from FDM official exhibitor list; this is not confirmed as MIFB KLCC booth.",,minervafoods,T2,Malaysia / event-discovered; BRAZIL,rigid_food_packaging,High,2026-07-21
Find contact,T2/T3,Ming Huat Bakery Supplies,Google Maps 105筛选池; 2026-07-18 consolidated master; 2026-07-17 corrected Google Maps discovery,No,A4 KL / Cheras / Batu Caves,,Small/unclear - lower priority,饼干/曲奇/烘焙糕点,T/J系列、防盗盒、PET罐/盒；节日礼盒可加透明展示包装,03-4023 3226,,,https://www.google.com/maps/place/Ming+Huat+Bakery+Supplies/data=!4m7!3m6!1s0x31cc37f7f5d70f37:0xcfa33fdc8aa55dfa!8m2!3d3.1897711!4d101.7182962!16s%2Fg%2F11c70hj8yg!19sChIJNw_X9fc3zDER-l2litw_o88?authuser=0&hl=zh-CN&rclk=1,"烘焙用品店 · · 4, Lorong Air Tenang",Yes,Yes,No,周六可跑 周六08:00,22.3,Google Maps screened,Not contacted,Not started,,优先看是否批发/工厂，不是小门店才约见,,"77 reviews; retail/shop; 4.4(77); bakery ingredients supplier Kuala Lumpur Malaysia; dessert ingredients supplier Kuala Lumpur Malaysia; 新地图线索; Ming Huat Bakery Supplies; 烘焙用品店 ·  · 4, Lorong Air Tenang; 已结束营业 · 开始营业时间：周六08:00 · 03-4023 3226; 门店服务",,minghuatbakerysupplies,T2,Malaysia / event-discovered; Malaysia,rigid_food_packaging,Medium,2026-07-21
Develop contact,T2,Mummy’s Noodles House,2026-07-12 offsite visit pool,Yes,,,,外卖热汤/麻辣烫/火锅/餐饮连锁,Soup noodle packaging,,,https://www.foodpanda.my/chain/cj7dw/mummy-s-noodles-house,,,No,No,No,,,Pending review,Not contacted,Not started,,只补官网、电话、规模、产品包装照片；暂不安排路线。,,NO_KNOWN_BOOTH / 展会外处理; Verify business scale and contact; foodpanda chain listing shows soup pan mee variants.,,mummysnoodleshouse,T2,Malaysia,hot_soup_valve,Medium,2026-07-21
Find contact,T2/T3,MY COOKIES CLASSIC,Google Maps 105筛选池; 2026-07-18 consolidated master; 2026-07-17 corrected Google Maps discovery,No,A1 Klang / Port Klang,,Small/unclear - lower priority,饼干/曲奇/烘焙糕点,T/J系列、防盗盒、PET罐/盒；节日礼盒可加透明展示包装,03-3348 8650,,,https://www.google.com/maps/place/MY+COOKIES+CLASSIC/data=!4m7!3m6!1s0x31cc55f6d794d3b7:0xaac921e8f6145527!8m2!3d3.0584684!4d101.4299741!16s%2Fg%2F11k0mnpjzh!19sChIJt9OU1_ZVzDERJ1UU9ughyao?authuser=0&hl=zh-CN&rclk=1,"食品生产商 · LOT 1043 SUNGAI PINANG, Jalan Tanjung Syawal",Yes,Yes,No,周六可跑 周六08:00,13.8,Google Maps screened,Not contacted,Not started,,优先看是否批发/工厂，不是小门店才约见,,"retail/shop; 4.3(8); cookie manufacturer Klang Malaysia; 新地图线索; MY COOKIES CLASSIC; 食品生产商 · LOT 1043 SUNGAI PINANG, Jalan Tanjung Syawal; 已结束营业 · 开始营业时间：周六08:00 · 03-3348 8650; ; 路线",,mycookiesclassic,T2,Malaysia / event-discovered; Malaysia,rigid_food_packaging,Medium,2026-07-21
Develop contact,T2,Nestle Ice Cream,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master; 2026-07-12 offsite visit pool,Yes,,,,ice cream / frozen dessert,F/E first; T/J optional; PP tubs / dessert cups / ice cream container benchmarking,,,,,Malaysia presence likely via Nestle Malaysia,No,No,No,,,Pending review,Not contacted,uncontacted,,Find Nestle Malaysia packaging procurement or factory contact; check if MIFB/food expo route exists,,High value but difficult; use as benchmark and long-term account.; NO_KNOWN_BOOTH / 展会外处理; 待背景调查,,nestleicecream,T2,Malaysia / event-discovered; Malaysia,rigid_food_packaging,Medium,2026-07-21
Meet at exhibition,T2,NUTRIFRES FOOD & BEVERAGE INDUSTRIES SDN BHD,323总审核池; 2026-07-18 consolidated master; 2026-07-11 exhibition booth walklist,Yes,FDM by SIAL 2026 / Chocolate Show 2026; HALL 1,1F081 HALL 1,,nuts / snack foods exhibitor,"New non-duplicate FDM exhibitor with possible but uncertain fit; verify before spending outreach time.; F PET jars, T PP tubs, E clear gift boxes for nuts/snack products.; Kept as T2 because category or product format may be soft-pack, beverage, seafood, distributor, or unclear.",,,https://www.fooddrinksmalaysia.com/exhibitors-list/,,MALAYSIA,No,No,No,,,Pending review,Not contacted,Not started,,Use booth/source to verify products first; only then prepare outreach or meeting request.,"Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.; High risk of low-fit packaging such as pouch, carton, bottle, can, frozen/vacuum pack, or pure channel role.","FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.; MITEC Kuala Lumpur; 2026-07-21 to 2026-07-23; Source has booth number from FDM official exhibitor list; this is not confirmed as MIFB KLCC booth.",,nutrifresfoodandbeverageindustries,T2,Malaysia / event-discovered; MALAYSIA,rigid_food_packaging,High,2026-07-21
Develop contact,T2,OzPro RawFeast,2026-07-09 pet packaging pool; 2026-07-12 offsite visit pool,Yes,,,Oyen lists OzPro RawFeast freeze-dried quail for cats.,Freeze-dried quail pet treat,"T/J small tubs, PET jars",,,Oyen article / Shopee / Lazada,,Malaysia,No,No,No,,,Pending review,Not contacted,Not started,,Trace brand owner from Shopee/Lazada before outreach.,,Small freeze-dried SKU direct fit; brand ownership unclear.; SKU fit is strong; company fit needs verification.; new; NO_KNOWN_BOOTH / 展会外处理; Trace brand owner from Shopee/Lazada before outreach.,,ozprorawfeast,T2,Malaysia,pet_packaging; rigid_food_packaging,Medium,2026-07-21
Develop contact,T2,PA Food,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master; 2026-07-12 offsite visit pool,Yes,,,,food_oem_private_label / frozen_food / food_oem_private_label,"frozen Asian street food, OEM/private label / PP tamper-evident tubs; PP meal boxes/trays; frozen pastry / ready-to-cook packaging; C/E first; T/J optional; OEM frozen food packaging and lidded tray / PP tamper-evident tubs",,unknown / marketing@pa-food.com,https://www.pa-food.com/services/,,Malaysia,No,No,Yes,,,Pending review,research_prepared_not_contacted / gmail_draft_created,gmail_draft_created,,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发 / Find named R&D/packaging/procurement contact before generic email; ask who handles packaging sample testing / Find named R&D/packaging/procurement contact; use LinkedIn + phone/website form before generic email / Review and send Gmail draft r-4991955581729466635; then WhatsApp/LinkedIn follow-up if available,,"Prepared-food type; keep, but not top tier.; PA Food has strong export/import signal and frozen/OEM fit; generic contact not enough. / Draft created: draft_id=r-4991955581729466635; message_id=19f2bfda35c38ed2. Attachments: B PP tamper-evident, K PP meal boxes.; NO_KNOWN_BOOTH / 展会外处理; 草稿待发送",,pafood,T2,Malaysia / event-discovered; Malaysia,rigid_food_packaging,Medium,2026-07-21
Develop contact,T2,Pak John Steamboat & BBQ,2026-07-12 offsite visit pool,Yes,,,,外卖热汤/麻辣烫/火锅/餐饮连锁,Hot soup takeaway/catering packaging,,,https://www.pakjohn.com.my/,,,No,No,No,,,Pending review,Not contacted,Not started,,只补官网、电话、规模、产品包装照片；暂不安排路线。,,NO_KNOWN_BOOTH / 展会外处理; Find HQ/procurement contact; Known halal steamboat chain; verify current outlets/contact.,,pakjohnsteamboatandbbq,T2,Malaysia,hot_soup_valve,Medium,2026-07-21
Develop contact,T2,Pak Keong Food Industries Sdn Bhd,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master; 2026-07-12 offsite visit pool,Yes,,,,烘焙/饼干/曲奇/糕点,"Ice cream cones, wafer cone protection, B2B foodservice packs; T/J first; F/E optional; Wafer cone anti-breakage tray and foodservice bulk packaging",6011-55028391,pkfcones@gmail.com,https://pkf.com.my/,,"Lot PT 51670, Hala Jati 7, Kawasan Perindustrian Taman Meru, 30020 Ipoh, Malaysia",No,Yes,Yes,,,Pending review,Not contacted,uncontacted / 未跟进-待背景调查,,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,,NO_KNOWN_BOOTH / 展会外处理; 待背景调查,,pakkeongfoodindustries,T2,Malaysia / event-discovered; Malaysia,rigid_food_packaging,Medium,2026-07-21
Develop contact,T2,Pet Lovers / Watsons pet supplement category,2026-07-09 pet packaging pool; 2026-07-12 offsite visit pool,Yes,,,Watsons category carries dog vitamins/supplements and oral care products.,Retail channel for pet healthcare,Small tubs/jars if private label,,,https://www.watsons.com.my/pets-care/dog-vitamins-supplements/c/220301,,Malaysia,No,No,No,,,Pending review,Not contacted,Not started,,Use as market intelligence; do not cold contact unless private-label buyer found.,,"Retailer not direct manufacturer; private-label/import route only.; Useful for benchmark and channel, not first outreach.; new; NO_KNOWN_BOOTH / 展会外处理; Use as market intelligence; do not cold contact unless private-label buyer found.",,petloverswatsonspetsupplementcategory,T2,Malaysia,rigid_food_packaging,Medium,2026-07-21
Find contact,T2,Pet Tales Exotic Pets,Google Maps 105筛选池; 2026-07-18 consolidated master; 2026-07-17 corrected Google Maps discovery,No,A1 Klang / Port Klang,,Small/unclear - lower priority,宠物食品/宠物用品,T/J方桶、PP tamper-evident tub、小容量营养膏/冻干桶；爬宠用品看透明盒,017-210 1214,,,https://www.google.com/maps/place/Pet+Tales+Exotic+Pets/data=!4m7!3m6!1s0x31cc5575d257fc47:0x58f26c4e1102ea9b!8m2!3d3.1023011!4d101.404093!16s%2Fg%2F11xgyq18jb!19sChIJR_xX0nVVzDERm-oCEU5s8lg?authuser=0&hl=zh-CN&rclk=1,"宠物店 · 19, Lorong Sungai Puloh 8/KU6, Kawasan Perindustrian Sungai Puloh",Yes,Yes,No,周六可跑 周六10:00,13.9,Google Maps screened,Not contacted,Not started,,确认是否有自有品牌食品/冻干/营养膏，不是纯零售店才深入,,"90 reviews; retail/shop; 5.0(90); reptile supplies wholesaler Klang Malaysia; 新地图线索; Pet Tales Exotic Pets; 宠物店 · 19, Lorong Sungai Puloh 8/KU6, Kawasan Perindustrian Sungai Puloh; 已结束营业 · 开始营业时间：周六10:00 · 017-210 1214; 店内购买; ·; 门店自提; 送货",,pettalesexoticpets,T2,Malaysia / event-discovered; Malaysia,pet_packaging; rigid_food_packaging,Medium,2026-07-21
Find contact,T2,Petdiatric Laboratories,2026-07-17 corrected Google Maps discovery,No,,,,宠物食品/宠物用品,T/J方桶、PP tamper-evident tub、小容量营养膏/冻干桶；爬宠用品看透明盒,,,,https://www.google.com/maps/place/Petdiatric+Laboratories/data=!4m7!3m6!1s0x31cc4acbd923ebbd:0xd072a4c0bbb413cb!8m2!3d3.038005!4d101.680902!16s%2Fg%2F11c3k4_n97!19sChIJvesj2ctKzDERyxO0u8CkctA?authuser=0&hl=zh-CN&rclk=1,,Yes,No,No,,,Google Maps screened,Not contacted,Not started,,确认是否有自有品牌食品/冻干/营养膏，不是纯零售店才深入,,pet food manufacturer Selangor Malaysia; 已在总表/前批地图; Petdiatric Laboratories; 赞助商; ,,petdiatriclaboratories,T2,Malaysia,pet_packaging; rigid_food_packaging,Medium,2026-07-21
Develop contact,T2,PetsCrazy,2026-07-09 pet packaging pool; 2026-07-12 offsite visit pool,Yes,,,"Site category sells dog treats, cat treats, freeze-dried bites, training rewards, dental chews.",Pet snacks/treats online store,"T/J tubs, PET jars, accessory boxes",,,https://petscrazy.com.my/product-category/pet-snack/,,Malaysia,No,No,No,,,Pending review,Not contacted,Not started,,Ask if they source own-brand pet snacks.,,Retailer/channel; private label unknown.; Good product category intelligence; lower if no private label.; new; NO_KNOWN_BOOTH / 展会外处理; Ask if they source own-brand pet snacks.,,petscrazy,T2,Malaysia,rigid_food_packaging,Medium,2026-07-21
Develop contact,T2,PetSee,2026-07-09 pet packaging pool; 2026-07-12 offsite visit pool,Yes,,,"Shopee result shows PETSEE cat freeze-dried food, 175 products, 4.9 rating.",Freeze-dried cat treats e-commerce seller,"T/J small tubs, PET jars",,,Shopee / TikTok / Lazada research needed,,Penang / Shopee,No,No,No,,,Pending review,Not contacted,Not started,,Verify brand ownership and sales volume before outreach.,,Likely reseller/brand; tub fit for freeze-dried treats.; Has product count/rating signal; needs owner validation.; new; NO_KNOWN_BOOTH / 展会外处理; Verify brand ownership and sales volume before outreach.,,petsee,T2,Malaysia,pet_packaging; rigid_food_packaging,Medium,2026-07-21
Meet at exhibition,T2,PIAU KEE LIVE & FROZEN SEAFOODS SDN BHD,323总审核池; 2026-07-18 consolidated master; 2026-07-11 exhibition booth walklist,Yes,FDM by SIAL 2026 / Chocolate Show 2026; HALL 4,4S298 & 4S298A HALL 4,,seafood / frozen food exhibitor,"New non-duplicate FDM exhibitor with possible but uncertain fit; verify before spending outreach time.; Only consider cold-chain rigid trays/tubs if visible; otherwise low priority.; Kept as T2 because category or product format may be soft-pack, beverage, seafood, distributor, or unclear.",,,https://www.fooddrinksmalaysia.com/exhibitors-list/,,MALAYSIA,No,No,No,,,Pending review,Not contacted,Not started,,Use booth/source to verify products first; only then prepare outreach or meeting request.,"Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.; High risk of low-fit packaging such as pouch, carton, bottle, can, frozen/vacuum pack, or pure channel role.","FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.; MITEC Kuala Lumpur; 2026-07-21 to 2026-07-23; Source has booth number from FDM official exhibitor list; this is not confirmed as MIFB KLCC booth.",,piaukeeliveandfrozenseafoods,T2,Malaysia / event-discovered; MALAYSIA,research_only,High,2026-07-21
Develop contact,T2/T3,Power Pet Heaven,2026-07-09 pet packaging pool,No,,,"PetsGlobal listing mentions dog biscuits/cookies, dry dog/cat food, vitamins.",Private-label pet food manufacturer candidate,"T/J tubs, PET jars, supplement containers",,,PetsGlobal private-label listing,,"Ipoh, Malaysia",No,No,No,,,Pending review,Not contacted,Not started,,Find official website/contact; validate active business.,,Dog biscuits/cookies/vitamins fit tubs; source needs verification.; Good product fit if company active; needs verification.; new,,powerpetheaven,T2,Malaysia,pet_packaging; rigid_food_packaging,LOW/MED,2026-07-21
Develop contact,T2/T3,Purina Malaysia,2026-07-09 pet packaging pool,No,,,Official Malaysia page for premium dog/cat food and treats.,Global pet food brand,Benchmark only; maybe promotional packs,,,https://www.purina.com.my/,,Malaysia,No,No,No,,,Pending review,Not contacted,Not started,,Do not prioritize unless packaging buyer identified.,,Mostly global packaging; rigid tub unlikely locally.; Large but hard to enter; use for market intelligence.; new,,purinamalaysia,T2,Malaysia,pet_packaging; rigid_food_packaging,LOW,2026-07-21
Find contact,T2/T3,Puzzle Melts Homemade Dessert | Bangi | Kajang | Putrajaya | Selangor | Dubai Chewy Cookie | Brownies | Kek Batik,2026-07-17 corrected Google Maps discovery,No,,,,饼干/曲奇/烘焙糕点,T/J系列、防盗盒、PET罐/盒；节日礼盒可加透明展示包装,014-647 9121,,,https://www.google.com/maps/place/Puzzle+Melts+Homemade+Dessert+%7C+Bangi+%7C+Kajang+%7C+Putrajaya+%7C+Selangor+%7C+Dubai+Chewy+Cookie+%7C+Brownies+%7C+Kek+Batik/data=!4m7!3m6!1s0x87a64f64b7f0319b:0x2da53e4f4ad644b7!8m2!3d3.0139763!4d101.729363!16s%2Fg%2F11npx43kpn!19sChIJmzHwt2RPpocRt0TWSk8-pS0?authuser=0&hl=zh-CN&rclk=1,,Yes,Yes,No,,,Google Maps screened,Not contacted,Not started,,优先看是否批发/工厂，不是小门店才约见,,5.0(19); confectionery manufacturer Kuala Lumpur Malaysia; cookie manufacturer Kuala Lumpur Malaysia; cookie manufacturer Selangor Malaysia; 已在总表/前批地图; Puzzle Melts Homemade Dessert; Bangi; Kajang; Putrajaya; Selangor; Dubai Chewy Cookie; Brownies; Kek Batik; 甜品店; 24 小时营业 · 014-647 9121; ; 网站; ; 路线; 送货,,puzzlemeltshomemadedessertbangikajangputrajayaselangordubaichewycookiebrownieskekbatik,T2,Malaysia,rigid_food_packaging,Medium,2026-07-21
